StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q17,Response_1,Response_2,Response_3,message,style
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking, ""Yes,"" below, I confirm that I read the consent form and agree to participate in the study",Are you 18 or older?,"Based on the message you just read, please respond to the following questions: - I would be excited to receive this message.","Based on the message you just read, please respond to the following questions: - I would respond to this message.","Based on the message you just read, please respond to the following questions: - I would hope to continue messaging this person.",message,style
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""message""}","{""ImportId"":""style""}"
2024-11-25 05:29:47,2024-11-25 05:30:59,IP Address,131.229.0.16,100,72,True,2024-11-25 05:31:00,R_1rcZiaECifge99f,,,,,42.3182,-72.6419,anonymous,EN,Yes,Yes,2,4,3,Flirty,NoAbbreviation
2024-11-25 07:29:45,2024-11-25 07:30:22,IP Address,131.229.0.21,100,36,True,2024-11-25 07:30:23,R_724QsXMJg7hMAnv,,,,,42.3182,-72.6419,anonymous,EN,Yes,Yes,"Strongly Disagree
1
","Strongly Disagree
1
","Strongly Disagree
1
",Flirty,Abbreviation
2024-11-25 11:38:13,2024-11-25 11:39:31,IP Address,131.229.0.26,100,77,True,2024-11-25 11:39:31,R_1jAbmWLWY4afAT7,,,,,42.3182,-72.6419,anonymous,EN,Yes,Yes,"Strongly Disagree
1
",2,3,Curious,Abbreviation
2024-11-25 12:56:06,2024-11-25 12:56:33,IP Address,131.229.0.24,100,27,True,2024-11-25 12:56:33,R_5kN2bolWwIWLCdH,,,,,42.3182,-72.6419,anonymous,EN,Yes,Yes,"Strongly Disagree
1
","Strongly Disagree
1
","Strongly Disagree
1
",Curious,NoAbbreviation
2024-11-25 13:56:10,2024-11-25 13:56:54,IP Address,70.95.150.50,100,43,True,2024-11-25 13:56:54,R_1wQ7j7qzmdpAp5D,,,,,32.9511,-117.2241,anonymous,EN,Yes,Yes,"Strongly Disagree
1
","Strongly Disagree
1
","Strongly Disagree
1
",Flirty,Abbreviation
2024-11-25 14:12:40,2024-11-25 14:13:28,IP Address,131.229.0.18,100,47,True,2024-11-25 14:13:28,R_1Ioz2sGVM9jV0XC,,,,,42.3182,-72.6419,anonymous,EN,Yes,Yes,"Strongly Disagree
1
","Strongly Disagree
1
","Strongly Disagree
1
",Curious,Abbreviation
2024-11-25 17:42:01,2024-11-25 17:42:53,IP Address,131.229.0.24,100,52,True,2024-11-25 17:42:54,R_1fAivZKzW3XaObv,,,,,42.3182,-72.6419,anonymous,EN,Yes,Yes,"Strongly Disagree
1
","Strongly Disagree
1
",2,Flirty,NoAbbreviation
2024-11-25 20:58:28,2024-11-25 20:59:15,IP Address,73.218.215.233,100,46,True,2024-11-25 20:59:15,R_5w50X2p0OoSVstl,,,,,42.3356,-72.6718,anonymous,EN,Yes,Yes,3,"Strongly Agree
5
",4,Curious,NoAbbreviation
